NV_PN,JEDEC_TYPE,DESCRIPTION,COSTS,MPN,MANUFACTURER,COMPLIANCE,LEAD_TIME,SOURCE_EXPANSION,PACK_TYPE,TEMP_RANGE
195-2024-000,0201,RES SCD 0201 13 5% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
195-2044-000,0201,RES SCD 0201 1.8 5% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
GM206-875-A1,BGA_1428_P080_P085_P100_350X350,GM206-875,[ ],[ ],[ ],[ ],7,[ ],BGA1428,[ ]..[ ]
095-0389-101,HSA_GPU_TM201_T_CU_1,FANSINK TM201 2BEARING 4PIN W/ P1000 ARTWORK,6.66,[ ],[ ],P8E0-A-2,70,CCM,4PIN,[ ]
085-0279-000,XTAL_SMD_4_032X025_D,XTAL SMD_32X25 25.0MHz 10.0ppm Fundamental 8.0pF S3M25.0000F08M13,0.09,S3M25.0000F08M13,Nakagawa,P8E0-A-3,49,CCM,SMD_32X25,-40.15degC..84.85degC
195-2454-000,0201,RES SCD 0201 38.3K 1% 1/20W,0.00175,Multi(7),Multi(7),P8E1-7cI-A-2,56,SCD,0201,-55degC..125degC
161-0267-900,BGA_0190_P065_100X140,"IC SDRAM GDDR5X FBGA190_10MMX14MM MT58K256M321JA-120 1500.0MHz , 8Gb, 12Gbps, Rev B based",0,MT58K256M321JA-120:A,Micron,P8E0-B-1,180,CCM,1.5GHz,-3.1degC..94.85degC
115-2379-000,BGA_0020_P040_019X023,IC CONTROLLER Wireless Power Receiver TS51223 BGA20,0,TS51223-M000WCSR,Semtech,P8E10,999,UNRESTRICTED,BGA20,-40degC..125degC
161-0190-900,BGA_0170_P080_140X120,IC SDRAM GDDR5 x32 FBGA170_12MMX14MM MT51J256M32HF-60 6.0Gb/s,[ ],MT51J256M32HF-60:A,Micron,P8E0-B-1,180,CCM,2.5GHz,-3.1degC..94.85degC
195-1108-000,0603,RES SCD 0603 887 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
195-2531-000,0201,RES SCD 0201 56.2 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
300-0261-000,MULTI_SMD_SOT669_LFPAK_B,N-CH MOSFET LFPAK 20.0A 20.0V 2.6W PK632BA,0.081,PK632BA,NIKO,P8E1-7a-A-2,63,CCM,LFPAK,-55degC..150degC
300-1073-000,DFET_SMD_030X030,DUAL P-CH MOSFET DFN3X3_DUAL -6A -6A 12V 12V 1.28W 1.28W EMF20B02V,0,EMF20B02V,Excelliance MOS,P8E10,999,CCM,DFN3X3_DUAL,-55degC..150degC
195-0491-000,0402,RES SCD 0402 11 5% 1/16W,0.00044,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
100-0094-000,IND_SMD_0402,FER BEAD 0402 30 OHM@100MHz 50mOHM MAX dcR 1.7A MAX,0.00394,Multi(2),Multi(2),P8E0-A-2,42,UNRESTRICTED,BEAD_0402,-55degC..125degC
080-1318-000,CON_FMC_050X008_BGA_RA_F_P013,Interconnect (SMD) CONN SMD SEAF 400-PIN (8X50),33.14,SEAF-50-01-S-08-2-RA-K-TR,Samtec,P8E10,56,CCM,SEAF_8X50_R,CON_FMC_050X008_BGA_RA_F_P013
130-0155-000,IND_SMD_0402_B,IND 0402 0.0013uH 15.0% 1.2A 0.017ohm 16000.0MHz,0.0189,LQW15AN1N3C10D,Murata,P8E0-B-2,63,CCM,0402,-55degC..125degC
316-0048-000,BGA_0054_P050_031X049,VREG MULTIPHASE SWITCHING REG CS W/ POWER SAVING CSP-54,1.52,VT1317SFCX,Volterra,P7,111,CCM,BGA54,-25.15degC..125.05degC
032-0215-000,CAP_SMD_3528,CAP POL TA-Polymer SMD_3528 2.7uF +/-20.0% 35.0V,[ ],35TQC2R7MYF,Panasonic IDSC,P8E8,60,CCM,SMD_3528,-55degC..105degC
280-0118-000,SW_04_SMD_ST_1XONOFF_048X048_B,Tact Switch SMD_4B 160gf,0.07696,T4BJA16BQAR,Diptronics,P8E0-A-2,56,CCM,SMD_4B,SW_04_SMD_ST_1XONOFF_048X048_B
032-0964-000,0805,CAP X5R 0805 22.0uF +/-20.0% 25.0V,0.0645,CL21A226MAQNNNE,SEMCO,P8E0-A-1,77,CCM,0805,-55degC..85degC
300-0961-000,MULTI_SMD_SOT669_LFPAK_B,N-CH MOSFET LFPAK 18.8A 20.0V 1.6W SM4373NAKPC-TRG,0,SM4373NAKPC-TRG,Sinopower,P8E1-7a-A-2,999,CCM,LFPAK,-55.15degC..150.05degC
064-0174-000,CON_AUDIO_026_TH_RA_F_247X217,CONN THRU AZALIA RA 6-CHANNEL AUDIO JACK,0.52,JAS3331-H1G2-4F,Foxconn,P8E10,49,CCM,TH26,[ ]..[ ]
195-1922-000,0805,RES AUTOMOTIVE 0805 8.25ohm 1.0% 0.125W,[ ],RCA08058R25FKEA,Vishay,P8E10,30,AUTOMOTIVE,0805,-55degC..155degC
115-1066-000,QFN016Q_P065_0047_T022X022_B,IC TRIPLE-CHANNEL HIGH-SIDE MEASUREMENT SHUNT AND BUS VOLTAGE MONITOR WITH I2C INTERFACE QFN-16,0.255,HPA01113AIRGVR,TI,P8E0-A-1,98,CCM,QFN16_NO_VIAS,-9998.95degC..9998.85degC
080-0388-000,CON_MISC_002_SMT_ST_M_P020_SHR_B,CONN SMD PACHINKO WIRE-TO-BOARD MALE VERT 2 POS 2.0mm PITCH,N/A,BM02B-PASS-TFT(LF)(SN),J.S.T.,P7,85,PACHINKO,SMD_MT2,CON_MISC_002_SMT_ST_M_P020_SHR_B
130-0360-000,0201,IND 0201 HIGH FREQUENCY FILM 15nH 3% 250mA 0.70 OHM dcR MAX,0.00272,LQP03TN15NH02D,Murata,P8E0-B-2,63,CCM,0201,-55degC..125degC
195-0915-000,0603,RES SCD 0603 34.8K 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
195-3090-000,0402,RES SERVER 0402 649R 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
035-0033-000,0402,CAP SCD C0G 0402 5.6pF 50V 0.5pF,0.0004,Multi(12),Multi(12),P8E0-B-2,42,SCD,0402,-55degC..125degC
195-1241-000,0603,RES SCD 0603 4.3K 5% 1/10W,0.00064,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
035-0123-000,0201,CAP C0G 0201 1pF 25V +/-0.25pF,0.00091,Multi(4),Multi(4),P7,71,CCM,0201,-55degC..125degC
320-0169-000,led_th_ra_cover_light_pipe_C,LIGHT PIPE RoHS THRU CLEAR RA FLAT FACE 4.5X8.89X6.6mm,0.24,Parameter N/A,Parameter N/A,P8E10,Parameter N/A,Parameter N/A,2PIN,Parameter N/A
195-0604-000,0402,RES SCD 0402 510 5% 1/16W,0.00015,Multi(10),Multi(10),P7,42,SCD,0402,-55degC..155degC
115-1979-000,BGA_0672_P080_230X230,IC GENERAL AUTOMOTIVE FPGA UBGA672 5CSXFC6C6U23A7NCZ,45.28,5CSXFC6C6U23A7NCZ,Altera,P8E0-A-2,91,AUTOMOTIVE,UBGA672,-40.15degC..125.05degC
195-1777-000,0402,RES 0402 1.43kohm 1.0% 62.5mW Pachinko,0.001,RK73H1ETQTP1431F~VERA,KOA Speer,P8E1-7cI-A-2,42,PACHINKO,0402,-55degC..155degC
106-0035-000,1206,FUSE RESETTABLE PTC 48V 160mA HOLD 450mA TRIP 1206,0.04,NANOSMDC016F-2,Tyco,P7,71,CCM,1.1ohm..5ohm,0degC..60degC
316-0571-000,SOT23_5,VREG LED DRIVER TSOT23_5 Buck 300KHz 7V 36V 5% % RT8471GJ5,0.09,RT8471GJ5,Richtek,P8E0-A-3,112,CCM,TSOT23_5,-40degC..125degC
195-0576-000,0402,RES SCD 0402 360 5% 1/16W,0.00022,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-0081-000,0402,RES SCD 0402 143K 1% 1/16W,0.00031,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-3621-000,1210,RES AUTOMOTIVE 1210 47.5ohm 1% 0.5W,0,TFA1210R47R5F-T5,Thin Film,P8E10,999,AUTOMOTIVE,1210,-55degC..155degC
036-0132-000,1206,CAP X7R 1206 10uF 10V 10%,0.0182,Multi(4),Multi(4),P7,85,CCM,1206,-55degC..125degC
195-0198-000,0402,RES SCD 0402 255 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-1941-000,0402,RES 0402 7.5ohm 1.0% 62.5mW,0.00037,WR04W7R50FTL,Walsin,P8E1-7cI-A-2,42,CCM,0402,-55degC..155degC
195-1143-000,0603,RES SCD 0603 1.1K 5% 1/10W,0.00064,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
320-0906-000,mec_alignment_pin_smd_150C,N/A,N/A,Parameter N/A,Parameter N/A,P8E10,Parameter N/A,Parameter N/A,SMD,Parameter N/A
115-0785-000,QFN008Q_P050_0016X0016,IC DUAL BIDIRECTIONAL I2C-BUS AND SMBUS VOLTAGE-LEVEL TRANSLATOR UQFN-8,0.14,PCA9306AMUTCG,ON SEMI,P8E0-A-1,84,CCM,QFN8,[ ]..[ ]
195-0664-000,0603,RES SCD 0603 1.05K 1% 1/10W,0.00034,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0603,-55degC..155degC
195-1909-000,0201,RES AUTOMOTIVE 0201 4.7kohm 5.0% 0.05W,[ ],ERJ1GNJ472C,Panasonic Electronic Devices,P8E1-7cI-A-2,30,AUTOMOTIVE,0201,-55degC..125degC
080-1145-000,CON_HDMI_019_SMD_RA_F,CONN HDMI FEMALE TYPE A 0.5mm PITCH,0.31,47151-8131,Molex-Japan,P8E10,63,CCM,HDMI_A_SMD,CON_HDMI_019_SMD_RA_F
195-0553-000,0402,RES SCD 0402 2.7 5% 1/16W,0.00095,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
032-0275-000,0402,CAP AUTOMOTIVE X7R 0402 1.8nF +/-10.0%,0.00297,0402YC182K4T4A-MY~VERA,AVX,[ ],126,AUTOMOTIVE,0402,-55degC..125degC
195-0695-000,0603,RES SCD 0603 12.1K 1% 1/10W,0.0005,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
032-1065-000,0603,CAP PACHINKO X7R 0603 2.2uF +/-10.0% 6.3V,0.0144,C0603C225K9RACTU,Kemet,P8E0-B-2,999,PACHINKO,0603,-55degC..125degC
195-0538-000,0402,RES SCD 0402 2M 5% 1/16W,0.00022,Multi(10),Multi(10),P8E1-7cI-A-2,49,SCD,0402,-55degC..155degC
316-0471-000,SOT23_8,VREG CONTROLLER/DRIVER/FET SOT23_8 Buck 1Ph 500.0KHz 0.807V 13.0V 1.0% APW7307AZI-TRG,0.09,APW7307AZI-TRG,Anpec,P8E0-A-2,63,CCM,SOT23_8_NOVR,-40.15degC..84.85degC
195-2424-000,0201,RES SCD 0201 33.2K 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
032-0715-000,0805,CAP X7R 0805 2.2uF +/-10.0% 16.0V,0.0152,C2012X7R1C225K125AB,TDK,P8E10,84,CCM,0805,-55degC..125degC
195-1377-000,0402,RES 0402 909.0ohm 1.0% PACHINKO,0.001,RK73H1ETTP9090F~VERA,KOA Speer,P8E1-7cI-A-2,28,PACHINKO,0402,-55degC..155degC
102-0022-000,FILTER_004_SMD_070X060,FILTER COMMON MODE PACHINKO SMD 7060 700 OHM@100MHz 4A MAX 15mOHM dcR MAX,0.3959,ACM7060-701-2PL-TL~VERA,TDK,P8E2,112,PACHINKO,SMDA_070X060,[ ]..[ ]
195-1043-000,0603,RES SCD 0603 649 1% 1/10W,0.0012,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
T30XC-ES2-C-A3,BGA_1208_P100_425_425,T30AutoVCM3.0 DualCore-2G-64M-ES2-C-A03Q,[ ],[ ],[ ],[ ],7,[ ],BGA1208,-40degC..105degC
035-0018-000,0402,CAP SCD C0G 0402 150pF 50V 5%,0.0006,Multi(11),Multi(11),P7,42,SCD,0402,-55degC..125degC
316-0598-000,QFN037R_P040_0070X0080,VREG CONTROLLER QFN Buck 1Ph 600kHz 3.8V 6.5V 15mV mV PI358x-00,0,PI3585-00-QFIZ,Vicor Corporation,P8E10,999,CCM,QFN37,-40degC..120degC
115-2267-000,DFN06_P050_015X010_B,IC CONTROLLER Reset TPS3898ADRYR SON06,0,TPS3898ADRYR,TI,P8E0-A-1,60,CCM,SON06,-40.15degC..125.05degC
300-0564-000,MULTI_SMD_SOT669_LFPAK_B,XSTR N-CH NEXFET PWR MOSFET 30V 73A 12.1mOHM MAX @ 4.5V SON-8 5X6mm,0.094,CSD17307Q5A,TI,P8E8,97,CCM,LFPAK,-55degC..150degC
101-0147-000,FILTER_008_SMD_020X013_B,FILTER multilayer diplexer SMD8 Other 1.5GHz 2.4GHz 5.0GHz TPX205950MT-7004A1,0.0772,TPX205950MT-7004A1,TDK,P8E8,63,CCM,SMD8,-40degC..85degC
316-0473-000,SOT23_8,VREG CONTROLLER/DRIVER/FET SOT23_8 Buck 1Ph 500.0KHz 0.807V 6.0V 1.0% RT6296FGJ8F,[ ],RT6296FGJ8F,Richtek,P8E0-A-3,999,CCM,SOT23_8,-40.15degC..125.05degC
300-0006-000,SOT23,XSTR POWER MOSFET N-CH SGL 20V 4.2A 45mOHM MAX @ 4.5V SOT-23,0.059,IRLML2502PBF,IR,P8E10,97,CCM,SOT23_1G1D1S,-55degC..150degC
315-0975-000,DFN10_P050_030X030_T026X018,VREG LINEAR AUTOMOTIVE DFN10 Low Drop Out 165.0mV 0.8V 3.6V 2.0% NCV59748MWADJTBG,0.3073,NCV59748MWADJTBG,ON SEMI,P8E10,56,AUTOMOTIVE,DFN10,-40.15degC..125.05degC
115-2366-000,QFN032Q_P050_058X058_T035X035,IC GENERAL Clock Multiplexor QFN32 CDCLVP111RHBR,2.028,CDCLVP111RHBR,TI,P8E10,56,CCM,QFN32,-40.15degC..84.85degC
131-0592-000,IND_NONRKO_TH_117X117_B,IND THRU 0.33uH 20% 38A 0.80 mOHM dcR MAX SHIELDED 11.7X11.7X9.5mm MAX,0.058,NP5021108R33-010210,Magic,P8E0-A-2,56,CCM,TH,-40degC..125degC
320-0394-000,MEC_STANDOFF_296C146P,STANDOFF M2.50X0.45 L3.10mm Free Cutting Steel Tin-plated,0.04,DCS-00011-N1-GP,Cooler Master,P7,21,CCM,SMD,Parameter N/A
T40T-R-A2,BGA_0797_P040_140X140,"T40T-R-A2,797B, 14x14 S-FCCSP,T&R",[ ],[ ],[ ],[ ],7,[ ],BGA797,[ ]..[ ]
195-2248-000,0201,RES SCD 0201 1.43K 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
195-0514-000,0402,RES SCD 0402 1.5K 5% 1/16W,0.00014,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-0241-000,0402,RES SCD 0402 309K 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
090-0195-000,DIODE_SMD_SMB,DIODE SMB 2Mutually Opposing Series with Protection Diodes SMBJ33CA 36.7V,0,SMBJ33CA,Fairchild,P8E10,45,CCM,SMB,-55degC..150degC
195-2137-000,0201,RES SCD 0201 620 5% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
115-1098-000,QFN016_P045_P050_023_T014X014_B,IC 0.4GHz TO 2.7GHz SP8T TRANSMIT/RECEIVE LTE DIVERSITY SWITCH WITH ANTENNA TUNING PORT QFN-16,0.49,SKY13451-587LF,Skyworks,P8E8,126,CCM,QFN16,[ ]..[ ]
161-0130-600,BGA_0170_P080_140X120,MEM GDDR5 SGRAM 1500MHz 6Gbps 1.5V+/-0.045V 64MX32 D-DIE FBGA-170 FOR TESLA SAMSUNG,[ ],[ ],[ ],P8E8,180,CCM,3GHz,[ ]..[ ]
130-0813-000,IND_SMD_2520_D,IND AUTOMOTIVE 2520 thin film 0.47uH 20.0% 5.1A 24.0mohm 0 0.0KHz 90.0MHz 9999.0decibel,0,TFM252010ALMAR47MTAA,TDK,P8E10,999,AUTOMOTIVE,2520,-40.15degC..125.05degC
316-0596-000,QFN048Q_P050_0076_T054X054_B,VREG CONTROLLER/DRIVER/FET AUTOMOTIVE QFN48 Buck/Boost/LDO 1Ph/1Ph/LDO/LDO 2.2MHz 3.3V 5V 1% % TLF35584QVVS2XUMA2 (C14 Die),2.2546,TLF35584QVVS2XUMA2,Infineon,P8E10,182,AUTOMOTIVE,QFN48,-40degC..150degC
300-0139-000,SOT323,P-CH MOSFET SOT323_1G1D1S -1.4A 8.0V 0.22W AM1321P,0.023,AM1321P-T1-PF,Analog Power,P8E0-A-2,112,CCM,SOT323_1G1D1S,-55degC..150degC
036-0146-000,0402,CAP X7R 0402 0.068uF 10V 10%,0.00063,LMK105B7683KV-F,Taiyo Yuden,P8E0-A-2,70,CCM,0402,-55degC..125degC
080-1224-000,CON_SD_008_SMD_RA_P011_150X164_MICRO,Interconnect (SMD) CONN SMD MICRO SD Bar-Push with Tray FEMALE,0.345,504528-0892,Molex-Japan,P8E0-A-1,60,CCM,SMD_18PIN,CON_SD_008_SMD_RA_P011_150X164_MICRO
080-0467-000,CON_HDR_005_SMD_ST_M_P010_SHR,CONN SMD PCB MOUNT WAFER MALE VERT 3 POS 1.0mm PITCH,0.124,28-3805-3-TR-H,Astron,P7,56,CCM,MNT2,N/A
065-0630-000,CON_DVII_039_TH_RA_SHD_TALL_B,CONN THRU DVI-I FEMALE RA 29 POS 1.905mm PITCH TALL SHIELDED,0.765,256F029-0N012D-H,Astron,P8E0-A-3,42,CCM,DVI_I_TALL_9SHLD,CON_DVII_039_TH_RA_SHD_TALL_B
130-0371-000,0201,IND 0201 HIGH FREQUENCY FILM 2.7nH +/-0.1nH 500mA 0.20 OHM dcR MAX,0.00272,LQP03TN2N7B02D,Murata,P8E0-B-2,70,CCM,0201,-55degC..125degC
080-0821-000,CON_EDGE_USB_005_SMT_RA_F_075X050,CONN SMD MICRO-B USB FEMALE RA 5 POS REVERSE TYPE,0.181,DX4R105JJCR1800,JAE,P8E8,84,CCM,SMD_11PIN,Released
305-0091-000,MULTI_SMD_DFN08_SON08,XSTR SWITCHING N-CH FAST SWITCHING MOSFETS 30V 80A DFN3X3,0.078,QM3016M3,UBIQ,P8E8,63,CCM,DFN3X3,[ ]..[ ]
195-1764-000,0402,RES SCD 0402 0R0 JUMPER Rmax R05 1/16W,0.00048,Multi(2),Multi(2),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
305-0059-000,SOT323,XSTR SWITCHING N-CHANNEL ENHANCEMENT MODE FIELD EFFECT 60V 115mA SOT-323,0.0075,2N7002W-7-F,Diodes,P8E0-A-2,112,CCM,SOT323_1G1D1S,[ ]..[ ]
195-3030-000,0402,RES SERVER 0402 154R 1% 1/16W,0.00071,Multi(4),Multi(4),P8E1-7cI-C-1,77,UNRESTRICTED,0402,-55degC..155degC
115-0475-000,XSOP14_P065_050X044,IC PACHINKO Dual D-TYPE FLIP-FLOP with Set and Reset Positive-Edge Trigger TSSOP-14,0.288,74ALVC74PW,NXP,P8E0-B-1,85,PACHINKO,TSSOP14,[ ]..[ ]
195-0394-000,0402,RES SCD 0402 6.49K 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
100-0150-000,IND_SMD_0603,FER BEAD AUTOMOTIVE 0603 30 OHM@100MHz 0.03 OHM dcR MAX 3A,0.004,PBY160808T-300Y-AUDF,Chilisin,P8E10,35,AUTOMOTIVE,BEAD_0603,[ ]..[ ]
195-0229-000,0402,RES SCD 0402 2.94K 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-2608-000,0201,RES SCD 0201 8.06K 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
085-0007-000,XTAL_SMD_4_060X035,XTAL SMD 27.000000MHz 10_10_2PPM 18pF FUNDAMENTAL 6.0X3.5X1.2mm,0.195,XTL171010M-27-18-TR,Siward,P7,57,CCM,SMD_60X35,0degC..85degC
300-0853-000,SOT89_3_C,BJTS AUTOMOTIVE SOT89 1.0A 0.5V 1.35W BCX56,0.0469,BCX56~VERA,NXP,P8E0-B-1,60,AUTOMOTIVE,SOT89,-55degC..155degC
130-0036-000,IND_SMD_0402,IND 0402 27nH 5% 700mOHM dcR MAX 300mA MAX,0.00179,HK100527NJ-T,Taiyo Yuden,P8E0-A-2,70,CCM,0402,-55degC..125degC
130-0434-000,IND_NONRKO_SMD_076X076,IND 7_6X7_6 AlloyPowder 0.68uH 20.0% 15.0A 0.0053ohm,0.118,MHCI06030-R68M-R8ADF,Chilisin,P8E0-A-2,49,CCM,7_6X7_6,-55degC..125degC
195-1334-000,0402,RES 0402 1000.0kohm 5.0% PACHINKO,[ ],RK73B1ELTP105J~VERG,KOA Speer,P8E1-7cI-A-2,30,PACHINKO,0402,-55degC..155degC
195-1288-000,0603,RES SCD 0603 82 5% 1/10W,0.00064,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
090-0303-000,SOT23,PROTECT AUTOMOTIVE GSOT03C-HG3-08 2 Line Uni-Directional 4.0V 600.0pF,0.049,GSOT03C-HG3-08,Vishay,P8E10,91,AUTOMOTIVE,SOT23,-55degC..150degC
064-0265-000,CON_EDGE_AUDIO_007_TH_RA_F_101X130_CUTOUT,CONN (TH High Temp) Singatron 2SJ3108-058111F 3.5mm HP Jack,0.35,2SJ3108-058111F,Singatron,P8E0-A-2,56,CCM,SMD_7,CON_EDGE_AUDIO_007_TH_RA_F_101X130_CUTOUT
GT218-300-B1,BGA_0533_P080_230X230_G3_064B,GT218-300-B1 DT ROHS GB1-64,[ ],[ ],[ ],[ ],7,[ ],BGA533,[ ]..[ ]
075-0224-000,CON_HDR_001X002_TH_ST_M_P025_SHR_C,HDR THRU MALE VERT 1X2 2.5mm PITCH,0.035,5752102-T0002D-H,Astron,P8E0-A-3,42,CCM,NORM,N/A
115-1404-000,QFN024Q_P050_0048_T025X025,IC INTERFACE I/OExpander qfn24 TXS02612 SDIO Expander,[ ],TXS02612RTWR,TI,P8E10,60,CCM,QFN24,-40degC..85degC
174-0008-000,SO08_048X038,IC FLASH SERIAL 512KBIT 2.7-3.6V 25VF512 SO8 SST,0.18,SST25VF512-20-4C-SAE,SST,P7,30,CCM,20MHz,[ ]..[ ]
115-2386-000,BGA_0676_P100_270X270,IC GENERAL PCI EXPRESS SWITCH FBGA676 PEX8749,0,PEX8749-CA80BC G,PLX,P8E0-A-1,999,CCM,FBGA676,0degC..70degC
085-0144-000,XTAL_SMD_2_032X015,XTAL AUTOMOTIVE SMD 32.768KHz 50_200_20PPM 12.5pF FUNDAMENTAL 3.3X1.6X0.9mm MAX,0.159,EXS00A-MU00080~VERB,NDK,P8E0-A-2,84,AUTOMOTIVE,SMD_32X15,-40degC..85degC
170-0335-000,BGA_0153_P050_115X130,"IC FLASH 5.0ns FBGA153_V5_1 SDINADF4-16G-H , 16GB eMMC5.1",0,SDINADF4-16G-H,SanDisk,P8E0-A-1,180,CCM,5ns,-25.15degC..84.85degC
195-3073-000,0402,RES SERVER 0402 432R 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
195-1210-000,0603,RES SCD 0603 3 5% 1/10W,0.00027,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0603,-55degC..155degC
074-0050-000,CON_HDR_001X006_TH_ST_M_P025,HDR THRU 1X6 ST 2.54mm PITCH HIGH TEMP,0.079,HTSW-106-07-FM-S,Samtec,P8E0-A-3,35,CCM,NORM,Parameter N/A
195-2580-000,0201,RES SCD 0201 698K 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
195-2573-000,0201,RES SCD 0201 6.81K 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
195-1710-000,0402,RES 0402 301K 0.1% 1/16W,0.00724,WF04H3013BTL,Walsin,P8E10,42,CCM,0402,-55degC..155degC
195-3155-000,0402,RES SERVER 0402 3.09K 1% 1/16W,0.00076,Multi(4),Multi(4),P8E1-7cI-C-1,49,UNRESTRICTED,0402,-55degC..155degC
130-0833-000,IND_NONRKO_SMD_032X030,IND SMD_3X3 1.0uH 20.0% 2.6A 0.06ohm 0 0.0Hz 0.0Hz 0.0decibel,0.071,SMPP3010-1R0M-NV1W,Lianzhen,P8E0-A-3,42,CCM,SMD_3X3,-40.15degC..125.05degC
080-1202-000,CON_MISC_050_SMT_RA_M_P006_BTB,Interconnect (SMD) AUTOMOTIVE 50 pin 0.635mm pitch IMSA-10110B-50Y900,0.867,IMSA-10110B-50Y900,IRISO,P8E10,98,AUTOMOTIVE,SMD_50,CON_MISC_050_SMT_RA_M_P006_BTB
315-0732-000,SOT23_5,VREG LOW-IQ LOW-DROPOUT FOR PORTABLE DEVICES 3.0V 200mA TSOT23-5,0.03,TLV70030DDCR,TI,P8E8,97,CCM,SOT235,-40degC..125degC
115-1744-000,SOT23_5,IC AUTOMOTIVE Amplifier SOT23_5 TSX561IYLT,0.32,TSX561IYLT,STMicroelectronics,P8E10,98,AUTOMOTIVE,SOT23_5_OUT4,-40.15degC..125.05degC
115-1495-000,DFN08_P050_020X020_B,IC SENSOR AUTOMOTIVE Temp WDFN8_2X2 NVT211DMTR2G,0.23,NVT211DMTR2G~VERA,ON SEMI,P8E0-A-1,56,AUTOMOTIVE,WDFN8_2X2,-40degC..125degC
195-3327-000,0402,RES SERVER 0402 191K 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
032-0738-000,0805,CAP X7R 0805 4.7uF +/-10.0% 10.0V,0,GRM21BR71A475KA73L,Murata,P8E0-B-2,999,CCM,0805,-55degC..125degC
300-0991-000,MULTI_DFET_010_SMD_050X060,DUAL N-CH MOSFET PWR_PHASE 20.0A 35.0A 12.0V 12.0V 1.0W 1.5W FDPC8016S,0.3637,FDPC8016S,Fairchild,P8E1-7a-A-1,98,CCM,PWR_PHASE,-55.15degC..150.05degC
080-1137-000,CON_MXM3_270_SMD,CONN SMD MXM NOR AND EAR TYPE FEMALE RA 314 POS 0.5mm PITCH BLACK,3.1,B35P101-01133-H,SpeedTech,P8E8,63,CCM,PHY-SMD,Released
130-0576-000,IND_NONRKO_SMD_045X040,IND AUTOMOTIVE SMD_4_5X4 Ferrite 100.0uH 10.0% 0.4A 1.2ohm,[ ],[ ],[ ],P8E10,0,AUTOMOTIVE,SMD_4_5X4,-40degC..125degC
085-0231-000,XTAL_SMD_4_025X020_B,XTAL SMD_25X20 24.0MHz 10.0ppm Fundamental 8.0pF CX2520DB24000D0FLJZ1,0.119,CX2520DB24000D0FLJZ1,Kyocera,P8E8,84,CCM,SMD_25X20,-30degC..85degC
032-0943-000,CAP_SMD_3528,CAP POL TA-Polymer SMD_3528 10.0uF +/-20.0% 25.0V Black,0,TEPSLB151E106M8R,NEC TOKIN,P8E0-A-2,999,CCM,SMD_3528,-55degC..105degC
