CONCISE NET LIST - 1  
DISCHARGE                Q503             1        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHARGE                Q505             1        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHARGE                R112             2        R_0402-100K,5 %,62.5MW,195-0487-000-100K,195-0487-000
DISCHG_1V8_AP            Q22              3        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_1V8_AP            Q23              1        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_1V8_AP            R68              2        R_0402-100K,5 %,62.5MW,195-0487-000-100K,195-0487-000
DISCHG_CPU_AP            Q61              3        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_CPU_AP            Q62              1        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_CPU_AP            Q502             1        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_CPU_AP            R277             2        R_0402-100K,5 %,62.5MW,195-0487-000-100K,195-0487-000
DISCHG_GPU_AP            Q60              3        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_GPU_AP            Q504             1        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_GPU_AP            Q506             1        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_GPU_AP            R276             2        R_0402-100K,5 %,62.5MW,195-0487-000-100K,195-0487-000
DISCHG_SOC_AP            Q24              3        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_SOC_AP            Q63              1        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_SOC_AP            Q501             1        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
DISCHG_SOC_AP            R110             2        R_0402-100K,5 %,62.5MW,195-0487-000-100K,195-0487-000
DP_AUX_CH0_AP_N          J501             B34      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DP_AUX_CH0_AP_N          U28              H5       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DP_AUX_CH0_AP_P          J501             B35      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DP_AUX_CH0_AP_P          U28              H4       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DP_AUX_CH0_HPD           J501             B36      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DP_AUX_CH0_HPD           U28              H7       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DP_AUX_CH1_AP_N          J501             A34      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DP_AUX_CH1_AP_N          U28              H2       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DP_AUX_CH1_AP_P          J501             A35      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DP_AUX_CH1_AP_P          U28              H1       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DP_AUX_CH1_HPD           J501             A33      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DP_AUX_CH1_HPD           U28              J7       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DRVH1_OVR2_CPU           R271             1        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
DRVH1_OVR2_CPU           U3530            2        U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
DRVH1_OVR2_CPU_R         Q3002            1        Q_FET_N_ENH_PWR_PHASE-NTMFD4C88NT1G,30V / 30V,5MOHM,4.4MOHM@10V / 7.7MOHM,6MOHM@4.5V / 0MOHM,0MOHM@2.5V,11.7A / 14.2A,160A / 2B
DRVH1_OVR2_CPU_R         R271             2        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
DRVH1_OVR2_GPU           R267             1        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
DRVH1_OVR2_GPU           U3526            2        U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
DRVH1_OVR2_GPU_R         Q3001            1        Q_FET_N_ENH_PWR_PHASE-NTMFD4C88NT1G,30V / 30V,5MOHM,4.4MOHM@10V / 7.7MOHM,6MOHM@4.5V / 0MOHM,0MOHM@2.5V,11.7A / 14.2A,160A / 2B
DRVH1_OVR2_GPU_R         R267             2        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
DRVH1_OVR2_SOC           R274             1        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
DRVH1_OVR2_SOC           U21              2        U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
DRVH1_OVR2_SOC_R         Q49              1        Q_FET_N_ENH_PWR_PHASE-NTMFD4C88NT1G,30V / 30V,5MOHM,4.4MOHM@10V / 7.7MOHM,6MOHM@4.5V / 0MOHM,0MOHM@2.5V,11.7A / 14.2A,160A / 2B
DRVH1_OVR2_SOC_R         R274             2        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
DRVH2_OVR2_GPU           R268             1        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
DRVH2_OVR2_GPU           U3526            14       U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
DRVH2_OVR2_GPU_R         Q46              1        Q_FET_N_ENH_PWR_PHASE-NTMFD4C88NT1G,30V / 30V,5MOHM,4.4MOHM@10V / 7.7MOHM,6MOHM@4.5V / 0MOHM,0MOHM@2.5V,11.7A / 14.2A,160A / 2B
DRVH2_OVR2_GPU_R         R268             2        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
DRVL1_CPU                Q3002            8        Q_FET_N_ENH_PWR_PHASE-NTMFD4C88NT1G,30V / 30V,5MOHM,4.4MOHM@10V / 7.7MOHM,6MOHM@4.5V / 0MOHM,0MOHM@2.5V,11.7A / 14.2A,160A / 2B
DRVL1_CPU                R3877            1        R_0402-10K,1 %,62.5MW,195-0004-000-10K,195-0004-000
DRVL1_CPU                U3530            19       U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
DRVL1_GPU                Q3001            8        Q_FET_N_ENH_PWR_PHASE-NTMFD4C88NT1G,30V / 30V,5MOHM,4.4MOHM@10V / 7.7MOHM,6MOHM@4.5V / 0MOHM,0MOHM@2.5V,11.7A / 14.2A,160A / 2B
DRVL1_GPU                R3808            1        R_0402-10K,1 %,62.5MW,195-0004-000-10K,195-0004-000
DRVL1_GPU                U3526            19       U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
DRVL1_OVR2_SOC           Q49              8        Q_FET_N_ENH_PWR_PHASE-NTMFD4C88NT1G,30V / 30V,5MOHM,4.4MOHM@10V / 7.7MOHM,6MOHM@4.5V / 0MOHM,0MOHM@2.5V,11.7A / 14.2A,160A / 2B
DRVL1_OVR2_SOC           R207             1        R_0402-10K,1 %,62.5MW,195-0004-000-10K,195-0004-000
DRVL1_OVR2_SOC           U21              19       U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
DRVL2_CPU                R263             1        R_0402-61.9K,1 %,62.5MW,195-2961-000-195-2961-000,61.9K
DRVL2_CPU                U3530            17       U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
DRVL2_GPU                Q46              8        Q_FET_N_ENH_PWR_PHASE-NTMFD4C88NT1G,30V / 30V,5MOHM,4.4MOHM@10V / 7.7MOHM,6MOHM@4.5V / 0MOHM,0MOHM@2.5V,11.7A / 14.2A,160A / 2B
DRVL2_GPU                R169             1        R_0402-10K,1 %,62.5MW,195-0004-000-10K,195-0004-000
DRVL2_GPU                U3526            17       U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
DRVL2_OVR2_SOC           R264             1        R_0402-61.9K,1 %,62.5MW,195-2961-000-195-2961-000,61.9K
DRVL2_OVR2_SOC           U21              17       U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
DSI0_CLK_N               J501             G34      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI0_CLK_N               U28              C6       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI0_CLK_P               J501             G33      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI0_CLK_P               U28              D6       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI0_D0_N                J501             F35      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI0_D0_N                U28              E6       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI0_D0_P                J501             F34      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI0_D0_P                U28              F6       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI0_D1_N                J501             H33      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI0_D1_N                U28              A6       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI0_D1_P                J501             H32      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI0_D1_P                U28              B6       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI1_CLK_N               J501             D34      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI1_CLK_N               U28              E8       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI1_CLK_P               J501             D33      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI1_CLK_P               U28              D8       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI1_D0_N                J501             C35      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI1_D0_N                U28              F8       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI1_D0_P                J501             C34      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI1_D0_P                U28              G8       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI1_D1_N                J501             E33      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI1_D1_N                U28              B8       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI1_D1_P                J501             E32      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI1_D1_P                U28              C8       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI2_CLK_N               J501             G31      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI2_CLK_N               U28              D9       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI2_CLK_P               J501             G30      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI2_CLK_P               U28              E9       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI2_D0_N                J501             F32      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI2_D0_N                U28              A9       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI2_D0_P                J501             F31      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI2_D0_P                U28              A8       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI2_D1_N                J501             H30      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI2_D1_N                U28              G9       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI2_D1_P                J501             H29      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI2_D1_P                U28              F9       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI3_CLK_N               J501             D31      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI3_CLK_N               U28              B9       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI3_CLK_P               J501             D30      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI3_CLK_P               U28              C9       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI3_D0_N                J501             C32      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI3_D0_N                U28              F11      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI3_D0_P                J501             C31      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI3_D0_P                U28              G11      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI3_D1_N                J501             E30      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI3_D1_N                U28              E11      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI3_D1_P                J501             E29      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSI3_D1_P                U28              D11      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI_CSI_RDN              R74              1        R_0402-49.9OHM,1 %,62.5MW,195-2693-000-195-2693-000,49.9OHM
DSI_CSI_RDN              U28              H11      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSI_CSI_RUP              R72              1        R_0402-453OHM,1 %,62.5MW,195-1686-000-195-1686-000,453OHM
DSI_CSI_RUP              U28              F10      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSPK_OUT_CLK             J501             G4       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSPK_OUT_CLK             U28              AY21     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
DSPK_OUT_DAT             J501             H4       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
DSPK_OUT_DAT             U28              AW21     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP0_AP_TXD0_N           J501             H38      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP0_AP_TXD0_N           U28              F4       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP0_AP_TXD0_P           J501             H39      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP0_AP_TXD0_P           U28              F5       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP0_AP_TXD1_N           J501             F37      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP0_AP_TXD1_N           U28              E2       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP0_AP_TXD1_P           J501             F38      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP0_AP_TXD1_P           U28              E3       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP0_AP_TXD2_N           J501             G36      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP0_AP_TXD2_N           U28              G5       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP0_AP_TXD2_P           J501             G37      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP0_AP_TXD2_P           U28              G6       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP0_AP_TXD3_N           J501             H35      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP0_AP_TXD3_N           U28              F2       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP0_AP_TXD3_P           J501             H36      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP0_AP_TXD3_P           U28              F3       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP1_AP_TXD0_N           J501             E38      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP1_AP_TXD0_N           U28              D1       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP1_AP_TXD0_P           J501             E39      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP1_AP_TXD0_P           U28              D2       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP1_AP_TXD1_N           J501             C37      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP1_AP_TXD1_N           U28              D4       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP1_AP_TXD1_P           J501             C38      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP1_AP_TXD1_P           U28              C4       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP1_AP_TXD2_N           J501             D36      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP1_AP_TXD2_N           U28              A4       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP1_AP_TXD2_P           J501             D37      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP1_AP_TXD2_P           U28              B4       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP1_AP_TXD3_N           J501             E35      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP1_AP_TXD3_N           U28              B5       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EDP1_AP_TXD3_P           J501             E36      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
EDP1_AP_TXD3_P           U28              A5       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
EMMC_E10_VSF2            TP508            1        LABTESTPOINT_PIN-LABTESTPOINT
EMMC_E10_VSF2            U522             E10      U_MEM_EMMC_FBGA153_V5_1-10NS,2.7V..3.6V,THGBMHG8C4LBAIR,170-0283-000-170-0283-000
EMMC_E9_VSF1             TP506            1        LABTESTPOINT_PIN-LABTESTPOINT
EMMC_E9_VSF1             U522             E9       U_MEM_EMMC_FBGA153_V5_1-10NS,2.7V..3.6V,THGBMHG8C4LBAIR,170-0283-000-170-0283-000
EMMC_F10_VSF3            TP507            1        LABTESTPOINT_PIN-LABTESTPOINT
EMMC_F10_VSF3            U522             F10      U_MEM_EMMC_FBGA153_V5_1-10NS,2.7V..3.6V,THGBMHG8C4LBAIR,170-0283-000-170-0283-000
EMMC_K10_VSF4            TP503            1        LABTESTPOINT_PIN-LABTESTPOINT
EMMC_K10_VSF4            U522             K10      U_MEM_EMMC_FBGA153_V5_1-10NS,2.7V..3.6V,THGBMHG8C4LBAIR,170-0283-000-170-0283-000
ENETPHY_INT              R552             1        R_0402-10K,5 %,62.5MW,195-2713-000-10K,195-2713-000
ENETPHY_INT              U28              AR24     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
ENETPHY_INT              U505             42       U_ENET_PHY_QFN48-BCM89610A2BMLG,ETHERNET (PHY),115-1536-000-115-1536-000
ENETPHY_RST              Q38              2        Q_FET_N_ENH_DFN1006-2N7002BKM,60V,1600MOHM@10V / 2000MOHM@4.5V / [ ]@2.5V,0.22A,1.2A,20V,0.715W,[ ]@10V / 0.6NC@4.5V / [ ]@2.5B
ENETPHY_RST              R996             1        R_0402-0OHM,0.05 OHM,62.5MW,195-1638-000-0OHM,195-1638-000
